Timestamp,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,LinAccX,LinAccY,LinAccZ
1698280199747,0.9600749,0.41180268,9.7563715,0.9265227,0.47185028,9.751374,NaN,NaN,NaN,0.016759412,-0.033518825,0.021547815
1698280199748,NaN,NaN,NaN,NaN,NaN,NaN,-0.002443461,0.0,0.0,NaN,NaN,NaN
1698280199758,0.93134445,0.4333505,9.785102,0.9265349,0.47157443,9.751387,-0.0012217305,0.0012217305,0.0,0.02873042,0.0,0.0047884034
1698280199767,0.94092125,0.36870706,9.753978,0.9281502,0.47232687,9.751197,NaN,NaN,NaN,0.0,0.021547815,0.033518825
1698280199768,NaN,NaN,NaN,NaN,NaN,NaN,-0.002443461,0.002443461,0.0012217305,NaN,NaN,NaN
1698280199778,0.9816227,0.34715924,9.77792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1698280199777,NaN,NaN,NaN,0.9291116,0.4721199,9.751115,-0.0012217305,0.008552114,0.0,0.009576807,-0.04070143,0.0023942017
1698280199787,0.9768343,0.35913026,9.7563715,NaN,NaN,NaN,-0.0012217305,0.007330383,0.0,0.050278235,-0.062249243,0.02633622
1698280199788,NaN,NaN,NaN,0.9295471,0.47190127,9.751084,NaN,NaN,NaN,NaN,NaN,NaN
1698280199798,0.90261406,0.4357447,9.76116,0.92936444,0.47243088,9.751076,0.0012217305,0.002443461,0.0,NaN,NaN,NaN
1698280199797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033518825,-0.035913024,0.0047884034
1698280199807,0.94331545,0.4381389,9.809045,0.9294251,0.47216576,9.751082,0.002443461,-0.0012217305,0.0,-0.038307227,0.04070143,0.009576807
1698280199817,0.90740246,0.40222588,9.813833,NaN,NaN,NaN,0.0,0.002443461,0.0,NaN,NaN,NaN
1698280199818,NaN,NaN,NaN,0.92978615,0.47275183,9.75102,NaN,NaN,NaN,0.0,0.04070143,0.05746084
1698280199827,0.94331545,0.37828386,9.739613,0.93140686,0.47414008,9.750798,NaN,NaN,NaN,NaN,NaN,NaN
1698280199828,NaN,NaN,NaN,NaN,NaN,NaN,0.002443461,-0.004886922,-0.0012217305,-0.033518825,0.0047884034,0.062249243
