SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.1580,1698280200.158241,0.007148456759750843,-0.0070405988954007626,-0.0010516822803765535,0.000274658203125,-0.070281982421875,-1.00103759765625,-21.330703735351562,31.6143798828125,-231.6958770751953,2023-10-26 02:30:00.0990,1698280200.099294,-0.002203030977398157,-0.001479180995374918,-0.001260701334103942,-0.1082150861620903,3.0515482649207115e-05,-0.9969329833984375,
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.1810,1698280200.180798,0.007334345486015081,-0.006892793346196413,0.0004743089957628399,0.0004119873046875,-0.071746826171875,-1.0012664794921875,-21.204132080078125,31.789108276367188,-231.6290740966797,2023-10-26 02:30:00.1160,1698280200.1156669,0.0038497350178658962,0.004150541964918375,-0.0002769825514405966,-0.1087491437792778,0.0019226053263992071,-0.9957123398780823,
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.1980,1698280200.198413,0.008528773672878742,-0.004065847955644131,0.00010572749306447804,-0.000457763671875,-0.071136474609375,-1.00048828125,-21.184036254882812,31.599807739257812,-231.6454620361328,2023-10-26 02:30:00.1650,1698280200.16497,-0.004006457049399614,0.002534935250878334,-0.0009092702530324459,-0.1109158918261528,-0.000686647545080632,-0.9981842041015625,
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.2160,1698280200.215969,0.008528773672878742,-0.004065847955644131,0.00010572749306447804,0.0003814697265625,-0.0720367431640625,-1.001922607421875,-21.254562377929688,31.5059814453125,-231.55271911621094,2023-10-26 02:30:00.1720,1698280200.1718512,-0.003478285390883684,0.0050928350538015366,-0.00045802444219589233,-0.1091153621673584,0.0009460428263992071,-0.9929351806640625,
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.2340,1698280200.233612,0.008596950210630894,-0.004023237619549036,-0.0005211806274019182,0.000244140625,-0.0706939697265625,-1.001007080078125,-21.254562377929688,31.5059814453125,-231.55271911621094,2023-10-26 02:30:00.2010,1698280200.2013888,-0.0005445473361760378,0.003959393594413996,-0.001120885368436575,-0.1072843000292778,-0.0002899190876632929,-0.9958038330078125,
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.2500,1698280200.250029,0.010512029752135277,-0.005572930909693241,-0.00013076121103949845,-0.0008087158203125,-0.0710296630859375,-0.999969482421875,-21.183273315429688,31.335205078125,-231.9125518798828,2023-10-26 02:30:00.2310,1698280200.231114,0.0030268847476691008,-0.008088082075119019,0.0006374404765665531,-0.1092374250292778,0.0014495828654617071,-0.9957427978515625,
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.2650,1698280200.2653031,0.00866059958934784,-0.004442152567207813,0.002481267089024186,0.0002899169921875,-0.0723724365234375,-1.001220703125,-21.146438598632812,31.432449340820312,-231.65423583984375,2023-10-26 02:30:00.2610,1698280200.26082,0.00013702214346267283,0.00982307456433773,-0.0013125261757522821,-0.1092984676361084,-0.0009307880827691406,-0.9958191514015198,
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.2820,1698280200.282423,0.008724781684577465,-0.004800880327820778,0.0003025351034011692,0.0001983642578125,-0.0703125,-1.0009765625,-21.133193969726562,31.523574829101562,-231.48634338378906,2023-10-26 02:30:00.2910,1698280200.290605,-0.0013648675521835685,-0.004210319370031357,-0.002780886832624674,-0.1080624982714653,-0.0007629414612893015,-0.994720458984375,
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.3010,1698280200.3010402,0.007641408126801252,-0.004101800732314587,-0.0003656520275399089,0.0001983642578125,-0.0715179443359375,-1.0018768310546875,-21.167999267578125,31.551055908203125,-232.0830078125,2023-10-26 02:30:00.3200,1698280200.320487,0.0004547372227534652,0.0018762024119496346,-0.0010413099080324173,-0.1076505035161972,-0.00018310756422579288,-0.99444580078125,
0,2023-10-26 02:30:00.1410,00:13,60,0,2023-10-26 02:30:00.3170,1698280200.31726,0.009343966841697693,-0.006025401875376701,0.0023246733471751213,0.0004119873046875,-0.070831298828125,-1.000091552734375,-21.064285278320312,31.471435546875,-231.7979736328125,2023-10-26 02:30:00.3500,1698280200.350141,-0.0023111552000045776,-0.007024415303021669,0.0005696364678442478,-0.1080625057220459,-0.00022888387320563197,-0.9989776611328125,
